2025-12-15 22:09:08 [ERROR]: Unhandled error in request {"requestId":"1765854548546-fs2t8kc6y","method":"GET","path":"/debug-sentry","userId":null,"error":{"message":"My first Sentry error!","stack":"Error: My first Sentry error!\n    at mainHandler (file:///C:/Users/Zaid%20Hasan/OneDrive/Desktop/New%20ATS/Aandsz-Forces-ATS-CS490/backend/server.js:627:9)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:91:12)\n    at trim_prefix (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)\n    at C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:286:9\n    at Function.process_params (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at requestLogger (file:///C:/Users/Zaid%20Hasan/OneDrive/Desktop/New%20ATS/Aandsz-Forces-ATS-CS490/backend/middleware/logging.js:63:3)\n    at Layer.handle [as handle_request] (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at trim_prefix (C:\\Users\\Zaid Hasan\\OneDrive\\Desktop\\New ATS\\Aandsz-Forces-ATS-CS490\\backend\\node_modules\\express\\lib\\router\\index.js:328:13)","name":"Error"}}
2025-12-15 22:09:08 [ERROR]: Request completed with error {"requestId":"1765854548546-fs2t8kc6y","method":"GET","path":"/debug-sentry","route":"/debug-sentry","statusCode":500,"responseTime":"16ms","userId":null,"error":null}
2025-12-16 20:29:23 [ERROR]: Request completed with error {"requestId":"1765934962989-ee44n08la","method":"POST","path":"/geocode","route":"/geocode","statusCode":500,"responseTime":"34ms","userId":3,"error":null}
2025-12-16 20:30:11 [ERROR]: Request completed with error {"requestId":"1765935011651-75kd9a5tx","method":"POST","path":"/geocode","route":"/geocode","statusCode":500,"responseTime":"25ms","userId":3,"error":null}
2025-12-16 20:31:07 [ERROR]: Request completed with error {"requestId":"1765935067225-sl7deuoyv","method":"POST","path":"/geocode","route":"/geocode","statusCode":500,"responseTime":"36ms","userId":3,"error":null}
2025-12-16 20:31:30 [ERROR]: Request completed with error {"requestId":"1765935090300-mcxt8ihxs","method":"POST","path":"/geocode","route":"/geocode","statusCode":500,"responseTime":"26ms","userId":3,"error":null}
2025-12-16 20:28:26 [ERROR]: Request completed with error {"requestId":"1765934906780-5pwurceqy","method":"GET","path":"/Test%20Company","route":"/:name","statusCode":500,"responseTime":"4ms","userId":null,"error":null}
2025-12-16 20:28:26 [ERROR]: Request completed with error {"requestId":"1765934906938-l3iv0pdmi","method":"POST","path":"/","route":"/","statusCode":500,"responseTime":"26ms","userId":null,"error":null}
2025-12-16 20:28:27 [ERROR]: Request completed with error {"requestId":"1765934907131-l0u2qggud","method":"PUT","path":"/Error%20Test%20Company","route":"/:name","statusCode":500,"responseTime":"30ms","userId":null,"error":null}
2025-12-16 20:28:27 [ERROR]: Request completed with error {"requestId":"1765934907242-ek6n1gm13","method":"POST","path":"/register","route":"/register","statusCode":500,"responseTime":"106ms","userId":null,"error":null}
2025-12-16 20:28:28 [ERROR]: Request completed with error {"requestId":"1765934908064-n4kooehe7","method":"POST","path":"/login","route":"/login","statusCode":500,"responseTime":"0ms","userId":null,"error":null}
2025-12-16 20:28:28 [ERROR]: Request completed with error {"requestId":"1765934908650-ippl4ygjm","method":"POST","path":"/linkedin-login","route":"/linkedin-login","statusCode":500,"responseTime":"1ms","userId":null,"error":null}
2025-12-16 20:28:29 [ERROR]: Request completed with error {"requestId":"1765934909005-ydc2wybe9","method":"POST","path":"/forgot","route":"/forgot","statusCode":500,"responseTime":"1ms","userId":null,"error":null}
2025-12-16 20:28:29 [ERROR]: Request completed with error {"requestId":"1765934909648-aaeuknwvx","method":"GET","path":"/me","route":"/me","statusCode":500,"responseTime":"1ms","userId":1,"error":null}
2025-12-16 20:28:29 [ERROR]: Request completed with error {"requestId":"1765934909813-ymmowoet9","method":"PUT","path":"/me","route":"/me","statusCode":500,"responseTime":"1ms","userId":1,"error":null}
2025-12-16 20:28:29 [ERROR]: Request completed with error {"requestId":"1765934909920-4pnv11hqz","method":"POST","path":"/profile","route":"/profile","statusCode":500,"responseTime":"3ms","userId":null,"error":null}
2025-12-16 20:28:30 [ERROR]: Request completed with error {"requestId":"1765934910057-dzhmtrfmk","method":"GET","path":"/profile","route":"/profile","statusCode":500,"responseTime":"2ms","userId":null,"error":null}
